"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"ATAD3B","8","7","6","8","7","8","7","9","7","8","9","8","8","8"
"MTND1P23","1","0","1","0","0","0","3","1","3","0","1","0","4","0"
"RPL7P7"," 3"," 5"," 2"," 8"," 6"," 4"," 5","12"," 9"," 9"," 8","13","14","14"
"MTCO3P12","2","1","2","2","2","3","3","4","5","1","3","2","3","3"
"PRDM16"," 7"," 3"," 5"," 7"," 5"," 6"," 6"," 9"," 8"," 3"," 8"," 5","10"," 8"
"MTND2P28"," 87"," 99","109","101","126"," 74"," 93","164","181","148","292","134","275","298"
"PEX10","15"," 9","12","11"," 6","10","11"," 9"," 9"," 7","11","10"," 9"," 7"
"MTCO1P12"," 55"," 35"," 48","220"," 56"," 51"," 67"," 68"," 61"," 58"," 97"," 56"," 90"," 97"
"SKI","60","42","61","70","46","38","48","64","49","43","52","56","59","59"
"PEX14","29","25","28","24","19","24","21","26","25","22","28","28","21","25"
"MTATP8P1","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"MTCO2P12","2","1","1","4","2","0","2","3","2","0","6","1","6","7"
"PLCH2","22","20","19","30","15","13","19","20","18","12","15","23","20","20"
"SPSB1","5","5","7","3","5","5","4","4","4","7","8","4","3","4"
"SLC2A5"," 4"," 4"," 4"," 3","14"," 4"," 2"," 5"," 3","11"," 6"," 4"," 2"," 2"
"ENO1","391","237","330","238","213","311","283","219","244","232","266","245","194","207"
"PLEKHM2","195","125","141","155","115","125","143","160","124","128","143","157","143","141"
"RPL22P3","2","1","1","3","4","2","2","5","5","4","4","3","3","5"
"NMNAT1","7","8","6","7","6","8","7","7","7","7","9","7","6","8"
"MTATP6P1"," 279"," 209"," 482"," 532"," 393"," 264"," 326"," 647"," 635"," 544"," 915"," 676"," 939","1075"
"MFFP1","2","0","1","1","0","1","1","2","0","0","3","2","3","1"
"PGAM1P11","1","1","0","4","3","0","4","2","3","2","1","4","5","2"
"CHD5","158","130","173","185","124","130","165","174","132","119","163","189","156","156"
"DISP3"," 9"," 5"," 6","11"," 6"," 5"," 5"," 6"," 5"," 5"," 7"," 7"," 8"," 8"
"MMEL1","0","0","0","1","2","0","0","0","0","2","1","0","0","0"
"TMEM51","6","4","3","4","3","2","4","5","3","3","5","3","4","3"
"WASH9P","8","6","4","4","5","9","6","8","8","4","6","4","4","3"
"FBXO42","25","21","21","21","18","19","20","21","16","17","20","21","18","17"
"ALDH4A1","46","20","25","54","31","41","40","49","44","35","51","26","51","49"
"RERE","67","53","64","67","66","52","53","63","47","56","56","57","57","61"
"CLCN6","55","35","56","45","39","48","49","45","43","37","38","46","35","35"
"CELA2A","0","1","0","1","4","1","1","1","1","4","2","3","1","1"
"CELA2B","3","2","3","5","5","5","5","6","6","6","7","7","4","5"
"RER1","35","33","28","28","26","28","22","27","22","25","25","25","23","24"
"PANK4","24","20","19","20","19","16","18","20","15","16","13","18","17","15"
"VPS13D","86","73","78","77","71","71","75","74","68","69","71","86","67","66"
"HTR6","7","6","5","9","4","6","8","8","6","3","4","7","6","5"
"RBP7"," 4"," 3"," 5"," 1"," 1"," 5"," 1"," 2"," 4"," 3","11"," 7"," 3"," 2"
"GPR157","1","1","0","1","1","1","1","1","1","1","1","0","1","1"
"ZBTB40","23","19","19","17","17","18","18","22","16","20","20","23","19","19"
"ENO1-AS1","1","1","0","0","0","0","0","0","1","1","2","0","1","1"
"NPHP4","11"," 9"," 8","11","11"," 9","13","12"," 8"," 8","13","13","11","12"
"HES5","19"," 9","10","24"," 2"," 8","15","11","10"," 1"," 9","10"," 9"," 8"
"MT1XP1","8","2","2","0","2","3","2","4","0","5","0","2","2","0"
"CLIC4"," 75"," 63"," 55"," 38","109"," 51"," 25"," 45"," 44","116","101"," 31"," 36"," 40"
"SZRD1","19","10","13","16","11","12","14","15","13","14","23","10","15","13"
"PDIK1L","30","29","27","23","16","16","16","16","18","15","14","20","13","12"
"NECAP2"," 9"," 8"," 8","10","14","10","10","13"," 9","13","19","10","10"," 9"
"IGSF21-AS1"," 8"," 8"," 9","18"," 7"," 7","16","13","14"," 9","18","17","10"," 8"
"MICOS10-DT","1","0","0","6","0","0","2","2","1","5","4","4","2","4"
"LAPTM5"," 9","12","13"," 6","41","20"," 8","14"," 7","42","17"," 8"," 6"," 5"
"SLC30A2","1","1","1","1","1","2","1","0","1","1","2","1","1","1"
"PHACTR4","12"," 8"," 8"," 8","12"," 8"," 8","12","10","13","16","12","11","12"
"CNKSR1","2","1","2","2","2","2","4","2","2","2","4","2","2","5"
"FAM110D","1","2","1","1","2","1","1","1","1","2","3","1","1","1"
"ICMT","56","51","45","37","28","37","37","32","35","30","27","37","26","27"
"MED18"," 8","10"," 7"," 8"," 6"," 6"," 7"," 6"," 8"," 6"," 6"," 6"," 6"," 4"
"MMEL1-AS1","5","4","2","1","3","2","2","1","3","2","2","1","4","5"
"SLC9A1","24","14","24","19","18","24","23","24","21","18","21","25","19","18"
"LDLRAP1"," 6"," 5"," 4"," 3"," 6"," 7"," 4"," 6"," 4"," 6","14"," 6"," 5"," 5"
"RNF207-AS1","7","6","2","1","8","2","6","9","2","5","8","5","6","4"
"ATP5IF1","80","93","87","64","61","60","62","59","68","71","60","76","58","54"
"SDC3","129"," 64"," 97","107"," 55"," 96","110","110"," 91"," 61","118","102","103","102"
"PAFAH2","6","5","6","5","6","6","6","7","7","8","9","6","7","6"
"DNAJC8"," 94"," 73","101"," 73"," 57"," 53"," 58"," 55"," 65"," 67"," 64"," 74"," 53"," 49"
"SESN2","20","14","17","15","15","16","13","11","12","13","27","14","12","10"
"SERINC2","0","0","0","0","1","0","0","0","0","0","1","0","1","0"
"AJAP1","75","60","69","68","43","46","47","52","42","40","35","60","51","50"
"PTAFR","2","4","4","2","4","4","2","4","2","5","3","2","2","2"
"NKAIN1","8","6","6","6","3","6","4","4","5","6","5","5","5","5"
"SNRNP40","21","19","18","19","16","14","16","16","17","19","20","18","15","14"
"SLC25A33","19","13","13","21"," 7"," 9","14"," 9","13"," 6","10"," 7","14","12"
"GJB3","4","2","2","4","3","3","3","5","2","2","2","3","3","2"
"LINC01756","0","1","0","1","1","0","1","0","1","0","1","1","0","1"
"DNAJC16","40","30","35","32","26","27","28","26","26","25","20","27","21","21"
"EYA3","21","16","18","20","22","15","16","24","15","21","20","19","20","21"
"RPL7P11"," 4"," 2"," 3"," 4"," 5"," 5"," 5"," 5"," 3","11"," 7"," 4","12"," 5"
"FABP3","189","172","209","131"," 85","149","132","127","161"," 89"," 86","182","110","109"
"EPHA2","2","1","1","1","4","2","1","2","2","3","4","1","1","2"
"ARHGEF19","1","0","0","0","1","1","0","1","1","1","1","0","0","1"
"KAZN-AS1"," 6","11"," 8","18","16","14","16","20","12","16","21","20","22","16"
"GPR153","14","10","13","16"," 6"," 8"," 8"," 7"," 9"," 5"," 7","11"," 8","10"
"KAZN","16","15","18","18","12","16","18","18","17","16","20","21","16","15"
"RERE-AS1"," 4"," 7"," 3"," 8","10"," 5"," 6","10"," 9","12"," 7","10","12","10"
"CHCHD2P6","3","2","3","4","0","3","1","0","3","2","3","1","3","0"
"TNFRSF1B"," 4"," 7"," 5"," 2","14"," 6"," 2"," 7"," 4","18","10"," 4"," 3"," 4"
"HMGN2P17","3","1","2","1","2","2","4","2","1","2","2","2","1","1"
"TMEM51-AS2","2","3","3","4","2","0","3","1","3","1","7","0","4","2"
"UBE4B","46","36","43","39","39","42","35","44","37","40","43","47","35","34"
"TMEM51-AS1","1","1","1","1","1","1","1","1","1","1","2","1","2","1"
"PLA2G5","4","2","2","4","1","3","4","2","2","1","3","2","3","3"
"PTPRU","22","19","19","23","22","22","22","29","21","26","36","25","17","16"
"ZMYM6"," 9","11"," 6","11"," 9"," 6"," 7"," 7"," 7"," 7"," 7"," 7"," 9"," 9"
"GJB5","3","5","3","2","3","3","4","4","2","4","5","4","2","2"
"AGO4","27","24","21","34","28","18","22","26","20","24","26","26","28","28"
"CDCA8","2","3","3","5","4","3","4","4","3","3","6","3","4","3"
"CPLANE2","15","15","15","15"," 9","14","16","15","13","12","13","14","10","13"
"ZBTB8B","2","2","2","2","2","1","2","2","2","2","2","2","3","2"
"RPL22","59","54","52","42","39","38","35","36","40","38","36","42","28","31"
"RNF207"," 8"," 8"," 7","12"," 8"," 6","11","14"," 9"," 7","11","10","14","11"
"FTH1P1","1","4","1","6","1","1","0","3","3","1","3","5","3","2"
"PAX7","5","4","2","1","3","5","4","3","3","3","4","3","2","2"
"EXTL1","60","56","54","55","31","49","47","43","46","31","49","62","50","44"
"CASZ1","0","0","0","1","1","0","1","1","1","1","1","0","1","0"
"AGMAT","7","5","9","4","3","7","5","5","4","4","3","6","3","3"
"FAAP20","5","3","4","4","4","4","4","5","4","4","4","5","4","4"
"DNALI1"," 9"," 5"," 6","11","10"," 5"," 6","12"," 7"," 8","10"," 8","10","10"
"RRAGC","14","12","12","10","11"," 9"," 8"," 8"," 8"," 9"," 5"," 7"," 6"," 6"
"SPCS2P4","34","23","45","40","22","23","19","22","32","26","35","30","30","26"
"GRIK3","29","21","32","17","12","27","29","17","28","19","24","36","15","16"
"YRDC","26","24","23","19","14","21","14","13","13","10","12","17","13","14"
"RCC2","47","34","43","38","36","41","33","33","35","37","32","38","28","30"
"PSMB2","54","42","47","41","29","37","34","27","38","32","32","38","28","26"
"CASP9","12","10","11","10","11","11","10","11","11","11","13","12","11","11"
"DDI2","21","17","20","19","16","15","15","16","15","15","15","19","14","15"
"UQCRH","282","329","260","186","149","208","179","166","201","176","124","237","134","121"
"MIR3659HG"," 7"," 8","10"," 7"," 6"," 9"," 9"," 8"," 5"," 3"," 5"," 5"," 8"," 4"
"RPS29P6","0","0","0","0","0","2","2","3","0","0","0","0","0","3"
"SELENOWP1","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"GPR199P","1","0","0","1","1","1","1","2","1","1","2","1","1","2"
"THRAP3","141","115","118","114"," 92"," 95"," 92","102"," 96"," 91","110","128"," 97"," 89"
"PADI4","2","0","0","0","2","2","1","0","1","1","3","1","2","2"
"C1orf122","39","26","34","32","20","29","23","24","32","25","31","34","17","16"
"EPHA10","16","15","15","18","13","15","18","20","16","11","16","19","15","14"
"FHL3","7","5","6","7","5","5","4","5","6","5","5","5","5","3"
"RHBDL2"," 5"," 5"," 5"," 9"," 9"," 7"," 7"," 8"," 7"," 8","15","12","13","12"
"INPP5B","13","11"," 9","17","16","12","14","16","14","14","21","16","14","15"
"FAM183A","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"ZMYM4","82","69","68","73","51","47","51","51","54","47","47","53","46","45"
"UTP11","25","24","23","22","16","15","17","16","19","14","15","17","14","13"
"C1orf216","251","194","221","139","111","185","152","120","139","124"," 78","186"," 95"," 91"
"SHMT1P1","3","1","1","2","4","5","2","5","3","2","3","4","3","3"
"PHB1P12"," 3"," 6"," 3"," 7","10"," 8"," 9"," 9"," 7","10","10"," 7"," 9"," 8"
"RLF","59","65","59","66","48","45","47","54","44","40","43","44","47","48"
"CLSPN","4","2","3","3","2","2","1","2","2","2","1","2","3","2"
"GNL2","14","16","14","13","13","12","12","10","12","13","13","14","10","10"
"GJA4"," 7"," 5"," 4"," 5"," 6"," 3"," 5","11"," 5"," 6","11"," 5"," 8"," 8"
"LINC02812","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"FCF1P6","0","0","1","1","0","0","1","0","0","0","0","0","0","1"
"MORN1","5","4","4","5","5","4","4","6","5","5","6","7","5","5"
"PRKCZ-AS1"," 8"," 6"," 3","10"," 7"," 5"," 7","12"," 7"," 7","10","11"," 9","12"
"TIE1","9","8","5","5","5","6","2","8","6","5","7","4","5","5"
"MYCBP"," 7","16","11","18","23","10","12","16","14","16","13","14","19","21"
"MICOS10","30","27","27","21","17","20","20","16","23","16","15","19","16","16"
"DLGAP3","105"," 85"," 87","115"," 56"," 57"," 87"," 99"," 81"," 57"," 85","108","108","111"
"TMA16P2","1","0","3","3","0","1","2","1","1","1","1","1","3","4"
"RIMS3","483","344","421","372","281","319","300","316","286","272","233","350","262","254"
"ECHDC2"," 7"," 7"," 4"," 9"," 8"," 6"," 8","14"," 9"," 7","21","10","14","14"
"RAB3B","36","23","33","18"," 7","24","19"," 9","21","11","10","30","11","12"
"SMIM12","15","14","13","13","13","12","12","13","11","11","11","15","10","11"
"MRPS6P2","3","2","3","3","3","0","3","1","5","3","4","7","4","3"
"TMEM61","1","0","0","0","2","0","0","0","0","1","0","0","0","0"
"RPL23AP19","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LINC01343","1","0","1","1","1","1","1","1","0","1","1","0","1","1"
"ERI3","104"," 73"," 85"," 70"," 60"," 73"," 73"," 68"," 70"," 68"," 69"," 72"," 56"," 52"
"CZIB","22","19","19","15","18","17","16","19","16","20","21","17","16","17"
"FAM151A","2","2","1","4","2","3","3","4","3","2","5","3","4","3"
"PODN","2","1","2","1","2","2","1","6","2","3","6","2","2","3"
"OSBPL9","20","19","15","18","19","14","16","17","16","17","23","17","14","15"
"PHB1P3","0","1","0","0","0","0","0","1","0","1","0","0","0","1"
"PARS2","10"," 5"," 7"," 5"," 3"," 6"," 6"," 5"," 5"," 5"," 7"," 7"," 6"," 4"
"ZYG11B","169","153","150","122"," 81"," 96"," 99"," 72"," 93"," 69"," 46"," 89"," 65"," 58"
"CZIB-DT","0","0","1","0","1","1","1","1","0","1","0","0","1","1"
"ST3GAL3-AS1","1","1","1","4","5","2","3","6","3","3","1","2","8","4"
"TXNDC12","6","4","4","6","5","5","3","3","6","7","5","3","6","5"
"TXNDC12-AS1"," 3"," 1"," 5"," 1"," 6"," 4"," 2"," 6"," 5"," 6"," 3"," 6"," 4","10"
"SF3A3","65","52","55","45","42","49","42","41","40","41","43","46","39","34"
"FGGY-DT","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"DOCK7-DT"," 2"," 1"," 1"," 2"," 6"," 4"," 3"," 4"," 4"," 4","11"," 3"," 6"," 6"
"LAMTOR5P1","0","3","0","3","0","1","2","1","0","1","3","0","0","1"
"TTC4","2","3","3","3","2","3","2","3","3","3","3","3","3","2"
"PLPP3","103"," 24"," 27","108"," 47"," 50"," 74"," 76"," 59"," 40","116"," 29"," 76"," 75"
"SNIP1","17","13","12","12","11"," 8","10","11","10"," 9","11","11","10","10"
"RPS13P2","17","18","16","17","19"," 5"," 9","12","13"," 8"," 3"," 5","12","11"
"CPT2","3","2","2","4","3","2","2","4","3","4","5","3","3","4"
"FOXJ3","69","58","67","60","53","44","51","42","50","44","41","51","46","45"
"TUT4","17","20","15","24","22","14","16","21","17","19","22","20","23","22"
"GTF2F2P2","0","0","0","0","1","0","1","0","2","1","1","1","1","2"
"GAPDHP51","1","1","1","1","1","1","2","2","2","2","3","3","1","1"
"PATJ-DT","2","3","4","1","4","2","1","5","6","2","5","5","4","0"
"CYP4A43P","0","0","0","0","0","5","0","3","2","0","3","3","0","0"
"MAGOH","19","27","19","22","21","18","21","20","16","19","22","16","23","22"
"SKINT1L","1","0","0","1","1","0","1","0","0","1","1","0","0","0"
"DLEU2L"," 5"," 6"," 3","14","11"," 3"," 8","10"," 6"," 7"," 4"," 7"," 8"," 9"
"CDKN2C","4","4","4","3","4","2","5","4","4","3","5","3","3","4"
"CAPZB","24","18","21","18","17","21","20","19","17","18","26","24","18","17"
"LRP8-DT"," 3"," 7"," 4","10"," 7"," 6"," 4"," 3"," 8"," 5"," 5","11"," 6"," 9"
"ELOCP18","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C1orf87","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"ZSWIM5","13","11"," 9","11","11"," 9","10","10"," 9"," 9","11"," 8","11","10"
"OMA1","22","20","20","17","24","19","13","21","14","18","18","14","13","14"
"SLC35D1","14","12","11","13","15","10","10","11","10","13","11","10","12","12"
"LRP8","21","19","18","18"," 8","17","20","15","15"," 7","16","17","13","13"
"TCEANC2","7","5","5","7","5","4","5","6","6","5","6","6","8","6"
"KTI12","5","6","5","5","3","3","3","2","4","4","3","4","4","3"
"LRRC42","17","13","15","11","12","14","10","13","12","14","14","11"," 9","12"
"GDI2P2","23","30","14","44","22","25","21","37","34","26","15","31","29","30"
"KANK4","1","1","2","1","2","2","2","2","1","2","3","1","1","0"
"DNAJB4","69","82","62","67","60","39","43","47","48","47","36","44","49","53"
"USP1","51","49","44","48","37","26","27","27","31","30","24","27","25","31"
"ERI3-IT1","12"," 8"," 7","23","13","12","15","22"," 8","12","19","16","21","13"
"AK5","259","234","283","187","153","194","156","154","171","160","120","194","115","107"
"SPATA6","11","15"," 8","15","16","11","13","12","14","13","22","10"," 9","10"
"GIPC2","1","2","1","2","1","0","0","2","1","1","1","1","2","2"
"RPE65","2","1","1","2","1","1","1","1","1","1","1","1","1","1"
"ANGPTL3","3","3","2","7","4","2","3","4","3","3","3","2","6","4"
"DNAJC6","452","385","443","278","197","300","251","191","247","206","163","292","169","157"
"AK4","40","16","30","41","24","21","36","30","28","22","27","16","31","29"
"LEPROT","22","15","15","34","25","14","23","20","17","20","25","11","21","20"
"RPL31P12"," 0"," 0"," 6","24"," 0"," 2"," 3"," 5"," 0"," 0"," 8"," 7"," 0"," 0"
"LINC02796","2","3","0","1","7","0","1","0","2","5","1","1","2","3"
"CACHD1","25","15","21","22","37","19","25","24","23","30","36","17","25","25"
"EFCAB7","20","25","17","29","24","12","16","18","15","20","16","17","19","18"
"MCOLN2","1","0","0","0","1","0","0","1","0","0","1","0","0","0"
"ST6GALNAC5","55","55","49","53","40","30","35","39","37","33","20","37","45","41"
"ATG4C","39","43","32","40","37","26","25","25","27","37","35","28","27","26"
"LINC02797","0","0","0","0","4","0","0","2","0","5","3","1","3","2"
"COX6CP13"," 9","10","12","21","22","17","18","29","14","12","26","27","18","40"
"TXN2P1","10"," 7"," 3","10"," 5"," 8","11"," 3"," 9","15","13","15"," 7"," 7"
"PDE4B-AS1","13","35"," 9","35","13","16","18"," 7","30","20","57","24","21","21"
"ASB17","0","0","1","1","0","0","0","0","1","0","0","0","4","1"
"ADGRL4","5","4","3","3","7","3","2","3","4","8","5","2","5","7"
"PPP1R8P1"," 3"," 3"," 3"," 4","11"," 6"," 8"," 6"," 8"," 9","16"," 7"," 5"," 4"
"MTF1","15","10","13","12","14","12","12","14","10","11","16","13","12","12"
"TTLL7","137","154","121","122","109"," 96"," 81"," 79"," 93","106","101","112"," 94"," 84"
"KDM4A","27","20","20","23","18","20","18","19","18","17","24","26","21","21"
"TTLL7-IT1"," 5","10"," 4","12","11","11"," 8"," 9","11","11","23","13","16","10"
"NEGR1-IT1","5","7","3","6","4","1","3","2","7","5","7","7","7","9"
"CAPNS1P1","0","0","1","3","1","0","0","0","1","1","0","0","1","1"
"LINC02777","3","3","1","3","4","3","2","3","2","3","4","4","3","3"
"ZNHIT6","19","21","21","22","19","13","16","17","16","17","16","16","16","18"
"MROH7","2","1","1","4","2","3","3","5","3","2","6","3","3","3"
"LINC01763","1","1","1","0","1","0","1","1","1","1","1","2","1","1"
"PTGFR","2","3","2","2","1","1","1","2","1","0","1","1","1","1"
"LINC02801","1","2","2","2","1","1","1","1","1","1","0","2","1","1"
"EEF1GP7","0","0","0","0","0","0","0","1","2","0","1","0","0","1"
"LMO4","278","327","319","297","159","192","213","166","196","141"," 96","177","126","122"
"PRPF38A","28","26","23","29","27","16","21","21","23","22","27","20","25","27"
"PIGK","45","44","35","39","24","27","22","22","25","21","18","23","20","20"
"HNRNPA3P12","0","0","1","0","1","0","0","0","1","0","0","0","0","0"
"ST6GALNAC3"," 8"," 9"," 7"," 6","11"," 6"," 4"," 8"," 5","10"," 7"," 5"," 6"," 5"
"PKN2-AS1","1","2","1","3","2","2","2","4","1","2","2","2","2","2"
"USP24","60","54","53","65","53","41","51","50","46","48","53","49","47","46"
"SLC25A6P3","1","1","0","2","2","1","1","2","1","3","2","1","1","1"
"DOCK7","16","12","12","22","19","10","15","14","14","15","18","12","18","17"
"NEXN-AS1","1","1","1","1","2","0","1","1","2","2","1","1","2","1"
"NEGR1","139","129","140","137"," 81"," 70"," 71"," 57"," 86"," 66"," 31"," 76"," 63"," 56"
"RPL36AP10","0","1","2","1","1","0","1","1","0","3","1","2","3","1"
"LINC01712","1","0","0","1","1","0","1","1","2","1","1","0","2","1"
"FAAH","43","36","37","38","33","42","32","40","29","37","48","44","37","34"
"KYAT3","52","46","28","50","36","41","35","28","35","29","22","43","30","28"
"SHISAL2A","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"DNTTIP2","29","28","34","25","21","17","20","18","24","19","19","25","17","17"
"PTPRF","82","56","76","73","58","68","65","72","61","52","67","69","69","65"
"DHCR24","167","120","185","105"," 81","152","121"," 98","119"," 92"," 74","121"," 64"," 68"
"PHKA1P1"," 9"," 6"," 3","11"," 4"," 5"," 7"," 7"," 4"," 7","10"," 8"," 9"," 4"
"COL24A1","11","22","15","26","16","10","22","18","16","14","11","18","21","22"
"GPX7","5","4","1","5","5","4","4","4","4","3","5","3","5","7"
"SLC44A3"," 8"," 2"," 3"," 6","18"," 3"," 6"," 3"," 5","13","11"," 4"," 5"," 5"
"LINC01362","1","1","0","1","1","0","1","0","0","1","1","1","1","1"
"NSRP1P1"," 1"," 3"," 2"," 5"," 6"," 3"," 5"," 7"," 5"," 8","12"," 7"," 8","11"
"PKN2","32","35","27","39","38","23","27","32","28","34","30","25","33","31"
"DAB1-AS1","5","6","3","9","4","3","5","5","4","5","4","4","8","7"
"MTCO1P21","0","0","0","0","0","1","1","1","1","2","0","1","1","0"
"GBP1P1","2","3","2","4","3","2","1","1","3","3","4","2","1","1"
"LINC01364","4","4","6","4","6","4","5","2","5","3","5","2","3","2"
"ABCD3","38","33","30","32","27","21","24","22","25","22","26","20","26","26"
"ALG14","6","5","5","6","5","3","4","5","4","5","4","4","4","4"
"ZZZ3","39","41","35","42","37","26","29","29","29","35","29","29","30","30"
"YIPF1","45","42","39","29","35","34","29","24","30","31","27","40","19","19"
"KATNBL1P2","1","0","0","0","3","1","1","1","0","1","1","1","1","1"
"GJB4","1","0","0","1","0","1","1","2","1","0","2","1","1","1"
"TMEM125"," 7"," 7"," 6"," 2"," 2"," 9"," 3"," 3"," 3"," 6","11"," 6"," 2"," 3"
"DMRTA2","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"HIVEP3","13"," 9","17","16","15","12","14","19","14","11","18","21","18","16"
"TM2D1","19","16","13","21","17","14","14","14","15","14","15","11","14","13"
"HMGB1P45","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"SCP2","34","26","27","29","27","22","24","21","22","23","23","18","19","20"
"FAF1-AS1","12","10"," 8","26","19","13","19","14","15","19","21","18","28","16"
"BCAR3"," 8"," 5"," 6"," 6"," 7"," 5"," 5"," 8"," 7"," 8","10"," 7"," 7"," 6"
"TBCAP2","14","20"," 9","36","21","19","18","34","22","18","15","16","22","21"
"DMAP1","25","20","20","25","19","18","18","25","18","20","26","27","25","22"
"AHCYL1","279","123","154","288","386","166","193","232","196","364","358","156","254","249"
"CNN3","132"," 63"," 88","123","319"," 84","106","107","116","305","183"," 68"," 98","103"
"VAV3"," 8"," 5"," 4"," 8"," 3"," 5","11"," 7"," 5"," 2"," 6"," 5"," 6"," 8"
"HNRNPA1P6","2","5","2","3","3","2","4","6","3","2","3","3","4","5"
"EEF1A1P11"," 1"," 3"," 2"," 1"," 2"," 1"," 0"," 1"," 1"," 2"," 2","10"," 1"," 1"
"LINC01361","2","2","2","2","1","1","1","1","1","1","1","1","1","1"
"RPS20P5"," 6","12"," 5","15","14","13"," 6","10","12","14"," 9"," 9","11","11"
"HSPE1P25"," 6"," 4"," 4","12","13"," 1"," 5","10"," 5","13","11","13","18"," 9"
"DPYD","20","21","20","21","26","16","17","17","17","25","27","19","19","18"
"TLCD4","66","51","44","61","47","26","32","35","28","32","17","21","32","27"
"H3P2","1","2","0","2","3","2","1","2","0","3","0","3","3","3"
"POU3F1"," 7"," 4","10"," 6"," 4"," 5"," 7"," 7"," 7"," 3"," 5"," 5"," 4"," 3"
"LRRC8D","41","36","35","25","22","29","24","22","26","25","32","26","22","21"
"S1PR1","42","11","15","40","26","23","35","32","30","24","42","15","44","39"
"NFU1P2","1","0","1","4","0","0","0","0","0","1","1","0","3","0"
"ELAPOR1","26","21","23","25","18","21","18","19","17","16","16","25","20","20"
"ARHGAP29","17","15","10","16","17"," 7"," 9","11","12","15","13","10","15","15"
"PGM1","54","28","34","41","29","33","37","33","34","31","36","35","29","30"
"IGSF21","50","51","50","52","36","40","47","51","49","42","46","61","41","40"
"COA7","51","41","42","34","21","29","34","26","29","22","18","36","18","19"
"RNPC3-DT","2","3","1","2","2","2","1","2","1","3","0","3","3","2"
"DPYD-IT1","2","0","2","1","3","3","1","0","4","5","3","2","5","2"
"GYG1P3","0","1","0","0","0","1","1","1","0","0","0","0","1","0"
"OLFML3","5","8","7","3","1","5","3","6","3","4","8","4","1","2"
"GCLM","24","24","25","22","27","16","17","16","15","22","13","16","15","12"
"TGFBR3","13"," 7"," 6","11","19"," 7"," 9","15"," 9","14","19"," 5","13","12"
"VAV3-AS1","0","1","0","1","0","0","3","1","0","1","1","1","3","0"
"RPL21P23","4","2","0","3","1","4","4","5","2","2","8","0","4","2"
"ALG14-AS1","0","1","0","1","1","1","0","1","2","1","1","1","0","1"
"MTND3P21","0","1","1","0","0","0","0","1","0","0","1","0","2","0"
"ELAVL4-AS1","2","2","3","8","3","7","4","6","5","4","3","4","5","9"
"SZT2","14","11","10","16","14","13","14","16","11","12","18","15","14","13"
"PHTF1","23","30","23","37","26","17","26","24","25","23","19","29","26","26"
"GSTM5","24"," 0"," 1"," 5","10"," 4","11","10"," 4"," 6"," 9"," 6"," 5"," 5"
"GSTM2"," 7"," 3"," 5"," 6"," 7"," 5"," 7"," 9"," 6"," 6","10"," 7"," 7"," 7"
"RRAS2P1","0","1","0","0","1","1","1","2","3","4","1","2","4","2"
"RPSAP19","10"," 9"," 7"," 9"," 8"," 6"," 7"," 7"," 9"," 9"," 8","12"," 9"," 7"
"BCAS2P2"," 2"," 5"," 4","14"," 5"," 3"," 3"," 4"," 4"," 2"," 7"," 2"," 4"," 4"
"F3"," 75"," 25"," 30"," 81","182"," 40"," 72"," 45"," 73","165","128"," 34"," 64"," 67"
"FTH1P22","0","0","0","1","0","1","0","1","0","0","0","0","0","0"
"WARS2-IT1","1","1","0","1","1","1","2","1","1","2","1","1","2","1"
"DNAJA1P5"," 8","10"," 6","17","11"," 5","12","13"," 9","10"," 5","11","16","17"
"VCAM1"," 2"," 4"," 2"," 1"," 1"," 1"," 0"," 4"," 1"," 1","17"," 1"," 1"," 1"
"HSP90B3P","1","0","1","1","1","0","0","0","0","1","1","1","0","0"
"HSD3BP2"," 3"," 4"," 2"," 7"," 8"," 4"," 6"," 7"," 4"," 6"," 3"," 4","13"," 8"
"SEC63P1","2","2","4","4","3","2","3","3","2","4","3","2","3","3"
"CYP4A27P","1","0","0","7","0","0","0","0","2","0","0","2","2","0"
"GPR88","16","11","18","13"," 5"," 6"," 6"," 9"," 6"," 5"," 6"," 7"," 6"," 5"
"RWDD3","10","11"," 4","10","10"," 6","10"," 7","10"," 9"," 9"," 7"," 9"," 9"
"MAN1A2","142","170","141","146","102"," 80"," 89"," 89"," 89"," 85"," 72"," 99"," 91"," 87"
"LRIG2-DT","3","5","3","4","5","4","4","4","3","3","7","4","8","6"
"LPAR3","6","2","2","7","7","5","5","5","3","4","7","3","8","8"
"LINC02868","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
